vcs_id,lat,lon,inclusion_status,project_name,syear,country,iso3,continent,area_ha,proj_id,undisturbed,degraded,deforested,regrowth,water,other,vcs_methodology
1325,-9.9398125,39.4586776,<80% undisturbed,Mjumita Community Forest Project (Lindi),2010,Tanzania,TZA,Africa,66528.0275938066,TZA_1325,6.096600245289522,20.604793422731884,1444.942364496235,6.247137687964346,5.463167327880857,63795.141018851,VM0015
1326,17.571013,-89.051749,Included,Laguna Seca Forest Carbon Project,2011,Belize,BLZ,Americas,8722.93965950974,BLZ_1326,8184.038774401926,448.7746833884067,2.413225273006663,12.46576220035329,0,27.254776644287112,VM0007
1329,-3.230831700000001,-49.3368629,Included,Maísa REDD+ Project,2012,Brazil,BRA,Americas,30242.369900320104,BRA_1329,27890.591775594392,612.4252443904179,62.42266809780936,113.1528354088643,0,74.05424936815466,VM0015
1340,6.6222495,40.0038752,<80% undisturbed,Bale Mountains Eco-region REDD+ project,2012,Ethiopia,ETH,Africa,256878.40741153003,ETH_1340,124554.10003477156,36770.22203585467,58049.381925766786,1391.353615828237,0,46115.662533387644,VM0015
1359,0.0750688,23.8381674,Included,Isangi REDD+ Project,2009,"Congo, the Democratic Republic of the",COD,Africa,199421.241748545,COD_1359,183953.9430629571,2794.738620387606,296.3364278816255,5.309708568713618,0.4599464243211933,166.24327368941982,VM0006
1360,-9.201951099999995,-74.3873251,Included,Forest Management to reduce deforestation and degradation in Shipibo Conibo and Cacataibo Indigenous communities of Ucayali region,2010,Peru,PER,Americas,129259.961094799,PER_1360,124012.93149458338,1877.4885254229575,502.5728524737429,187.5336929716933,79.01871514351633,433.2029322672965,VM0015
1382,-8.8474453,-70.1771758,Included,"The Envira Amazonia Project - A Tropical Forest Conservation Project in Acre, Brazil",2012,Brazil,BRA,Americas,39749.1890654508,BRA_1382,39021.59439386179,206.85865580236023,44.485458559043735,17.537556293921376,0,19.063963213824103,VM0007
1384,17.2095585,-89.6313006,<80% undisturbed,Reduced Emissions from Avoided Deforestation in the Multiple Use Zone of the Maya Biosphere Reserve in Guatemala (GuateCarbon),2012,Guatemala,GTM,Americas,726387.742869707,GTM_1384,439549.71588389506,85087.6797825538,45172.35557712562,4254.902510067693,496.816957505864,144041.50278936242,VM0015
1389,1.816785,-78.5264357,Included,Acapa - Bajo Mira Y Frontera REDD+ Project,2013,Colombia,COL,Americas,55447.9148036915,COL_1389,48858.02366381688,2067.4803560608643,217.88102099228863,371.61826282724434,459.8535770503032,636.9826697667271,VM0006
1390,6.7855833,-77.1121944,Included,Carmen del Darién (CDD) REDD+ Project,2014,Colombia,COL,Americas,134242.60247806305,COL_1390,122013.73609664691,5354.862911318836,652.2396375933013,39.87735906625785,1550.0324579817384,2209.4495033422427,VM0006
1391,4.9155278,-77.35975,Included,SUPP REDD+ Project,2013,Colombia,COL,Americas,54210.168027386906,COL_1391,52728.54338087987,450.3315142750691,2.4962839083563115,20.851591744791655,106.36538591148238,98.53788390744664,VM0006
1392,3.292603599999999,-77.1282649,Included,Cajambre REDD+ Project,2013,Colombia,COL,Americas,65844.7900577816,COL_1392,64013.24370332178,410.8315204202546,15.820040742259302,266.8896629505838,206.4673778807159,96.0947161620614,VM0006
1395,4.0344,-76.9775,Included,Bajo Calima y Bahía Málaga (BCBM) REDD+ Project,2013,Colombia,COL,Americas,91971.09837966142,COL_1395,88639.71853815267,1180.672264750502,77.4863706708363,72.18030089343497,66.71036170256977,155.07764825484895,VM0006
1396,5.0726385,-76.8862711,Included,Rio Pepe y ACABA REDD+ Project,2014,Colombia,COL,Americas,61132.29082131751,COL_1396,56122.95406583661,712.399958584989,21.09368219128179,4.947459325501685,35.34820425573014,111.37609190008428,VM0006
1398,14.385718200000005,106.1534034,<80% undisturbed,Reducing Emissions from Deforestation and Carbon Enhancement in Xe Pian National Protected Area,2013,Laos,LAO,Asia,142869.54201355402,LAO_1398,72675.73365561364,6219.775706276776,6910.31658694378,501.6542833830707,500.6018572340289,55222.96507328915,VM0015
1399,7.1342804,-76.4671942,Included,Mutatá REDD+ Project,2013,Colombia,COL,Americas,40471.121068676104,COL_1399,38859.81706588985,374.52147522042344,8.414059161520566,10.37793039402382,0.34233443818933823,19.98818091133866,VM0006
1400,4.490648200000002,-77.3181474,Included,Concosta REDD+ Project,2013,Colombia,COL,Americas,64997.4301714668,COL_1400,62837.486923511606,488.53936916223495,2.951138569288067,12.669862764270256,103.5853591146552,163.03593631728256,VM0006
1408,-2.806912899999999,37.6880051,<80% undisturbed,Chyulu Hills REDD+ Project,2013,Kenya,KEN,Africa,416188.691798127,KEN_1408,2491.9294035053304,322.70757193912465,179.04314091186538,8.126041796875008,789.6969386173264,406872.0008471102,VM0009
1477,-2.382579,113.267275,<80% of plots matched,Katingan Peatland Restoration and Conservation Project,2010,Indonesia,IDN,Asia,150715.35635716,IDN_1477,145332.96372346827,2739.2713987765883,1121.7650135839065,391.04707950314986,7.420055947696461,110.51242461507152,VM0007
1503,-8.863412900000004,-62.2882304,Included,Resex Rio Preto-Jacundá REDD+ Project,2012,Brazil,BRA,Americas,101591.981198601,BRA_1503,97319.680832288,1180.5598216277667,429.809199187898,110.06940890201348,163.809297797397,132.63525469049196,VM0015
1532,-11.9254213,33.1858492,<80% undisturbed,COMACO Landscape Management Project,2012,Zambia,ZMB,Africa,1426029.71584725,ZMB_1532,11.63092313842773,13.020058715820308,20.207899417078355,3.992084753417969,1550.7455478341035,1297329.328901452,VM0015; VM0017
1541,16.64212999999999,-90.5666323,<80% undisturbed,Lacandon – Forest for life REDD+ Project,2012,Guatemala,GTM,Americas,204980.09708574705,GTM_1541,86476.73998326567,18099.19497523911,83022.63780462737,1685.1186086784328,1514.3055226384336,13041.544604260607,VM0015
1566,4.244444,-68.393333,<80% of plots matched,REDD+ Project Resguardo Indigena Unificado Selva de Mataven (RIU SM) (started 2013),2013,Colombia,COL,Americas,1557189.5889257402,COL_1566,1291518.2189145216,36763.89251804771,16380.293520909334,5381.657690023231,18853.15326843291,177981.45838910615,VM0007
1571,-8.9956631,-62.534638,Included,Manoa REDD+ Project,2013,Brazil,BRA,Americas,73619.6413383372,BRA_1571,71738.30977186262,949.2267145342482,105.17434974860686,75.13758484051868,7.235305561619178,10.654743332351984,VM0015
1650,12.3148243,106.6849035,<80% undisturbed,Reduced Emissions from Deforestation and Degradation in Keo Seima Wildlife Sanctuary,2010,Cambodia,KHM,Asia,173280.17623324203,KHM_1650,57024.83692372513,8164.691387476643,7411.549404631489,556.8031110483927,2.6086930319393384,99066.71995233488,VM0015
1686,-9.0263889,-70.8186111,Included,Agrocortex REDD Project,2014,Brazil,BRA,Americas,187739.664350347,BRA_1686,184400.60431548313,1719.811314027695,264.6427650525864,24.63399110511929,0.08839622192382812,59.165453422396794,VM0015
PL1218,-12.6870749,-69.2149424,Included,"Evio Kuiñaji Ese´Eja Cuana, To Mitigate Climate Change, Madre de Dios - Perú",2011,Peru,PER,Americas,8723.850148079591,PER_PL1218,8128.693262753552,274.3274035298418,183.5405963240084,36.68954505782779,4.768255568751915,42.47361455039829,VM0007
PL1455,-5.857990499999998,-79.7395731,<80% undisturbed,Reduction of the deforestation and degradation of tropical dry forests in Piura and Lambayeque,2013,Peru,PER,Americas,39791.6094636525,PER_PL1455,3.3831467628867955,7.364672031728709,78.48111222574877,0,0.21735739492378983,38275.97683274646,VM0015
PL1654,-8.9098518,-66.1550537,Included,Fortaleza Ituxi REDD Project,2013,Brazil,BRA,Americas,47327.42580622461,BRA_PL1654,45821.67943133402,336.44776324860237,209.01365259018817,12.20753026675954,246.17200481706195,400.5260857639426,VM0015
PL1657,6.031622000000002,-73.252177,"Insufficient temporal
 records","Grouped Project REDD+ conservation of the Oak ecological corridor Guantiva – La Rusia – Iguaque, Colombia",2015,Colombia,COL,Americas,7168.8463260608605,COL_PL1657,4694.726345874338,744.921340131071,328.5472162833403,64.6174395839317,0,1287.9793381290388,VM0015
PL1674,-16.5399475,38.2767461,<80% undisturbed,Gilé National Reserve REDD Project,2012,Mozambique,MOZ,Africa,153752.667489682,MOZ_PL1674,0,0,0,0,0,0,VM0007
PL1689,12.9836612,105.4280581,"Insufficient temporal
 records",Tumring REDD+ Project,2015,Cambodia,KHM,Asia,68252.7232678406,KHM_PL1689,43301.5691662232,2744.5218986540795,18125.945893365075,448.2541470872355,14.39371036424824,3204.893347405908,VM0009
PL1695,4.888858,-73.366905,<80% undisturbed,Scheme of Compensation for Ecosystem Services for Forest Management and Conservation of Water Sources in the Jurisdiction of CORPOCHIVOR,2014,Colombia,COL,Americas,2454.54590839556,COL_PL1695,1167.8986267458688,313.87596695188086,101.16564171290976,21.959599347091373,0.2399670711502375,832.21159902356,VM0015
PL1743,-24.15776170000001,47.0587503,"Insufficient temporal
 records",Beampingaratsy REDD Project,2017,Madagascar,MDG,Africa,65962.2289705243,MDG_PL1743,52079.26046383766,3170.4542426777825,5671.0119959363865,803.5773115871316,1.0626627014160157,3943.1820638763447,VM0007
PL1748,11.5435249,103.4931603,<80% of plots matched,Southern Cardamoms REDD+ Project,2015,Cambodia,KHM,Asia,500451.929456926,KHM_PL1748,410339.6612824587,25425.29222798313,15108.553875906236,2808.6138262758323,2417.9844119397458,41265.73877087308,VM0009
